time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind
1992,0.2743944925608371,-1.098257771539354,0.6785975689218525,0.6501154872964345,5.205642468844802,5.710492246084573,-0.823863278978517,1.328713056218287
1993,0.1202076647532537,-1.2745991414933884,0.6222648667205412,0.5905790672882969,5.411026943212113,5.469479400480817,-1.1543914767401346,1.2128439340088382
1994,-0.04754764030261247,-1.3070697400824403,0.8078378959855788,0.935145890853455,5.623530621973871,6.011897028427852,-1.3546173803850527,1.7429837868390337
1995,-0.20993599078882275,-1.1920044384721835,0.6422738848794566,0.5562997027930757,5.842554203856048,5.639187362267574,-1.4019404292610063,1.1985735876725323
1996,-0.34862775154041303,-0.942391268084505,0.03133927986288935,0.47237980319843836,6.06762559310882,5.28032565654523,-1.291019019624918,0.5037190830613277
1997,-0.4479680472701554,-0.5864053925433529,0.47574973059182785,0.7133956946934061,6.298273191878167,6.4530451773498925,-1.0343734398135083,1.189145425285234
1998,-0.4967438114467775,-0.16422882738746494,0.732147659308026,0.5893936416686323,6.533802808993045,7.194371471135461,-0.6609726388342424,1.3215413009766583
1999,-0.48944946463941225,0.27648511733147346,0.7379992721239429,0.48189047241465066,6.77344016059473,7.780365557825386,-0.21296434730793878,1.2198897445385937
2000,-0.4269083584945602,0.6859907191240229,0.6319638631932477,0.5990831785660433,7.01643913772088,8.506568540109633,0.25908236062946266,1.231047041759291
2001,-0.3161798396649582,1.0180649068376573,0.3997190684104116,0.18656487844883027,7.262069531742731,8.550238545774672,0.701885067172699,0.5862839468592419
2002,-0.16976242387802995,1.2352247040749724,0.42917284497059405,0.7786010573395464,7.509626067791031,9.782862250298114,1.0654622801969424,1.2077739023101404
2003,-0.004183022116825073,1.3129581317196237,0.36914958656995983,0.5806994859349668,7.758432627630739,10.017056809738465,1.3087751096027986,0.9498490725049267
2004,0.16186853955645955,1.2424910051421,0.6520737799549113,0.282957003810816,8.008021180815193,10.34741150927948,1.4043595446985597,0.9350307837657273
2005,0.3096491398838692,1.031777322996993,0.516903607898001,0.2428016218812825,8.25809180290733,10.359223495567477,1.3414264628808623,0.7597052297792836
2006,0.42247799800674807,0.7046014571707006,0.5460399114608994,0.6720855496140468,8.508550942663796,10.853755858916191,1.1270794551774486,1.2181254610749461
2007,0.48761952175189205,0.2978934844662815,0.7155974496525683,0.35070466038478787,8.759500949976179,10.611316066231709,0.7855130062181735,1.0663021100373562
2008,0.4977208415275983,-0.14243930721029024,0.6417586528214098,0.5753352429972449,9.011130993794938,10.583506423930901,0.3552815343173081,1.2170938958186546
2009,0.4516417677474886,-0.5666942181368189,0.5292920637789896,0.7657087753782454,9.263723454692176,10.44367184346008,-0.11505245038933026,1.2950008391572352
2010,0.3545834900818781,-0.9269833443414981,0.22211048190658217,0.031885246314492896,9.517484977887358,9.199080851848814,-0.57239985425962,0.2539957282210751
2011,0.2175014915689427,-1.182638939539214,0.7462198785024449,1.1496103816801237,9.772499373129236,10.703192185341534,-0.9651374479702713,1.8958302601825685
2012,0.05586894508655591,-1.3048037995412143,0.5108517493163899,0.30822450931345347,10.028773373078081,9.598914777253267,-1.2489348544546583,0.8190762586298433
2013,-0.11206982581045977,-1.2796885280816415,0.38110169175419956,0.6042895520161972,10.286186525274559,9.879819415152854,-1.3917583538921012,0.9853912437703967
2014,-0.26735868054073547,-1.110128019175641,0.472179603531772,1.0841495049996068,10.544569843344497,10.7234122521595,-1.3774866997163766,1.5563291085313788
2015,-0.39246934171326897,-0.8152614675827226,0.9503675703150938,1.0553781493721202,10.80367150550929,11.601686415900511,-1.2077308092959915,2.005745719687214
2016,-0.47327990484616483,-0.42837202629301036,0.4694177546024997,0.44100201977763426,11.063232489880654,11.072000333121613,-0.9016519311391752,0.9104197743801339
2017,-0.5006688526922467,0.006870039635807496,0.7635113903023252,0.4543108674006069,11.323009359231925,12.047032803878418,-0.4937988130564392,1.217822257702932
